minutes	A1	A2	A3	B1	B2	B3	C1	C2	C3	X1	X2	X3	Y1	Y2	Y3
22.7	6.952759	6.964482	6.909909	6.826342	6.887475	6.858262	6.946487	7.000956	7.101465	6.845856	6.864081	6.890444	6.931055	6.868210	6.884709
22.8	6.951795	6.966753	6.906175	6.822122	6.887365	6.854867	6.955035	7.002371	7.099594	6.858970	6.862416	6.899671	6.932133	6.863244	6.887776
22.9	6.950622	6.967283	6.918013	6.812165	6.889113	6.855978	6.949233	7.004655	7.095731	6.858970	6.862675	6.913095	6.937598	6.878317	6.889483
23	6.957570	6.965564	6.912186	6.815635	6.890903	6.857401	6.949859	7.007103	7.063713	6.852502	6.856805	6.917656	6.948174	6.875992	6.891938
23.1	6.962432	6.959668	6.912121	6.815760	6.895529	6.861405	6.959579	6.996750	7.057596	6.852690	6.857200	6.920474	6.936094	6.866615	6.895953
23.2	6.962786	6.970162	6.890933	6.824219	6.888017	6.861255	6.962020	6.999569	7.059424	6.845135	6.857139	6.912503	6.936725	6.872179	6.891304
23.3	6.961931	6.970162	6.911227	6.824593	6.888197	6.856945	6.965791	7.009032	7.078830	6.839731	6.858854	6.905457	6.937883	6.871583	6.890747
23.4	6.956406	6.967286	6.932648	6.813789	6.890992	6.858322	6.963873	7.008867	7.079572	6.839897	6.863170	6.909268	6.936511	6.867085	6.882615
23.5	6.956177	6.983566	6.941946	6.808653	6.891374	6.859791	6.962648	7.009896	7.076622	6.844383	6.866747	6.909588	6.946885	6.870058	6.903693
23.6	6.958486	6.974560	6.930266	6.813561	6.891374	6.867359	6.963934	7.006909	7.062797	6.839069	6.869088	6.903832	6.938018	6.872598	6.904901
23.7	6.956372	6.976156	6.902040	6.814061	6.888163	6.868207	6.971532	6.997708	7.049347	6.834845	6.855866	6.902210	6.937352	6.875247	6.898784
23.8	6.962061	6.981073	6.902969	6.814269	6.889068	6.863679	6.982419	7.001009	7.062292	6.836261	6.855052	6.905713	6.937723	6.876263	6.901755
23.9	6.962176	6.973684	6.919882	6.818108	6.890868	6.867862	6.999213	6.999094	7.076037	6.842099	6.853250	6.908467	6.929745	6.864961	6.889471
24	6.972841	6.974114	6.925390	6.810818	6.891356	6.875099	6.999284	6.992023	7.088837	6.840312	6.849473	6.896634	6.932383	6.867413	6.887264
24.1	6.968078	6.979414	6.935812	6.812084	6.887552	6.865819	7.002765	6.988810	7.093220	6.838220	6.849086	6.901129	6.929489	6.868659	6.885418
24.2	6.966173	6.987301	6.937594	6.812084	6.896266	6.860442	7.014350	6.983795	7.090366	6.837392	6.851954	6.913473	6.922988	6.866457	6.881246
24.3	6.966233	6.984265	6.926842	6.829072	6.899595	6.866824	7.013918	6.982403	7.087504	6.836283	6.849775	6.913554	6.932302	6.873788	6.878197
24.4	6.968039	6.972362	6.924355	6.829072	6.904192	6.869540	7.019967	6.983099	7.106228	6.830598	6.847449	6.913027	6.933212	6.875939	6.883537
24.5	6.962919	6.964668	6.924374	6.823043	6.899056	6.869909	7.013972	6.982876	7.102378	6.829920	6.847666	6.913807	6.931969	6.887631	6.882861
24.6	6.973505	6.976623	6.925825	6.823531	6.899178	6.869909	7.013972	6.984328	7.093886	6.833071	6.841268	6.912045	6.925769	6.888986	6.889717
24.7	6.975365	6.964967	6.915125	6.824182	6.895922	6.853682	7.010166	6.984282	7.079394	6.831263	6.843620	6.902706	6.923019	6.891203	6.910850
24.8	6.968558	6.961948	6.914633	6.829922	6.895922	6.856406	7.011051	6.988015	7.077750	6.833170	6.849246	6.904184	6.920135	6.903085	6.982134
24.9	6.965665	6.962930	6.914946	6.834736	6.898366	6.867581	7.011680	6.984510	7.094567	6.834488	6.845365	6.916166	6.921576	6.905477	7.110167
25	6.971068	6.961722	6.914667	6.827866	6.900810	6.866859	7.007238	6.986100	7.110984	6.831682	6.845097	6.904579	6.923883	6.904657	7.253980
25.1	6.970893	6.961039	6.917826	6.828705	6.896344	6.856056	7.007238	6.982654	7.111111	6.838322	6.845984	6.891754	6.932866	6.905937	7.353259
25.2	6.979968	6.964175	6.912044	6.827805	6.897698	6.850735	7.009620	6.989281	7.133083	6.842004	6.846659	6.907571	6.931399	6.906229	7.360598
25.3	6.977629	6.964122	6.912044	6.816267	6.895414	6.862713	7.009667	6.984353	7.195221	6.831711	6.846564	6.903357	6.929583	6.911178	7.341694
25.4	6.968628	6.961560	6.902942	6.819294	6.893205	6.868339	7.005497	6.983640	7.273676	6.831711	6.838865	6.902277	6.927424	6.904165	7.253357
25.5	6.969807	6.955873	6.905541	6.815780	6.892285	6.870772	7.007749	6.986808	7.342178	6.838206	6.836466	6.967486	6.932418	6.900639	7.129643
25.6	6.974012	6.961705	6.915673	6.815029	6.897492	6.870175	7.014289	6.980249	7.372662	6.837087	6.836941	7.046384	6.934265	6.890660	7.058616
25.7	6.965979	6.962103	6.915673	6.818798	6.889243	6.870958	7.014490	6.981613	7.327425	6.840570	6.841882	7.180306	6.929059	6.897363	7.012393
